accuracy,loss,val_accuracy,val_loss,learning_rate
0.5886048674583435,1.107445240020752,0.24509002268314362,1.756853461265564,0.0010000000474974513
0.6704939603805542,0.9033603668212891,0.11292961984872818,2.7958366870880127,0.0010000000474974513
0.7070335149765015,0.8116871118545532,0.47135841846466064,1.9706463813781738,0.0010000000474974513
0.737434983253479,0.7169281244277954,0.4369885325431824,1.8839616775512695,0.0010000000474974513
0.7825678586959839,0.6109356880187988,0.6530278325080872,1.0756282806396484,0.0005000000237487257
0.7976602911949158,0.5646563768386841,0.5846972465515137,1.903118371963501,0.0005000000237487257
0.81181401014328,0.5327267050743103,0.5797872543334961,1.5582512617111206,0.0005000000237487257
0.8172299265861511,0.5050906538963318,0.6624386310577393,1.107843279838562,0.0005000000237487257
0.8397602438926697,0.45238620042800903,0.6959902048110962,0.8952212333679199,0.0002500000118743628
0.8458983302116394,0.43276336789131165,0.5294598937034607,1.5656800270080566,0.0002500000118743628
0.8571634888648987,0.4127591848373413,0.6374795436859131,1.1669710874557495,0.0002500000118743628
0.8537694811820984,0.4098999798297882,0.6702127456665039,1.003232717514038,0.0002500000118743628
0.8629404902458191,0.38265112042427063,0.7172667980194092,0.8110563158988953,0.0001250000059371814
0.8682120442390442,0.369711697101593,0.6980360150337219,0.887822687625885,0.0001250000059371814
0.868356466293335,0.3675876557826996,0.6563011407852173,0.9997397661209106,0.0001250000059371814
0.8709561228752136,0.3619577884674072,0.6943535208702087,0.8823462724685669,0.0001250000059371814
0.8801270723342896,0.34439751505851746,0.7843698859214783,0.6548658013343811,6.25000029685907e-05
0.8799104690551758,0.34042808413505554,0.7700490951538086,0.6773683428764343,6.25000029685907e-05
0.8821490406990051,0.33857569098472595,0.7279050946235657,0.7685649991035461,6.25000029685907e-05
0.8871316909790039,0.32677680253982544,0.7839607000350952,0.6329674124717712,6.25000029685907e-05
0.8840987682342529,0.3299683630466461,0.7459083199501038,0.7122703194618225,6.25000029685907e-05
0.8831599950790405,0.32788529992103577,0.7671849131584167,0.6680225133895874,6.25000029685907e-05
0.8849653601646423,0.3256511688232422,0.7753682732582092,0.67646723985672,6.25000029685907e-05
