accuracy,loss,val_accuracy,val_loss,learning_rate
0.45967742800712585,1.2154631614685059,0.5169851183891296,1.0999051332473755,0.0010000000474974513
0.5845836400985718,0.9842802286148071,0.6157112717628479,0.9145303964614868,0.0010000000474974513
0.6817329525947571,0.7988136410713196,0.6613588333129883,0.8290122747421265,0.0010000000474974513
0.724306046962738,0.6912724375724792,0.6974522471427917,0.7473266124725342,0.0010000000474974513
0.7468116879463196,0.6440398097038269,0.7048832178115845,0.7413541674613953,0.0010000000474974513
0.7633158564567566,0.606810986995697,0.7112526297569275,0.7747933864593506,0.0010000000474974513
0.7747561931610107,0.5708097815513611,0.712314248085022,0.7809364199638367,0.0010000000474974513
0.7908852100372314,0.5367869138717651,0.7101910710334778,0.7650256156921387,0.0010000000474974513
0.8158289790153503,0.4883759319782257,0.7080679535865784,0.7640442252159119,0.0005000000237487257
0.8282070755958557,0.46489736437797546,0.7144373655319214,0.7799416780471802,0.0005000000237487257
0.8255813717842102,0.45697447657585144,0.7218683362007141,0.7810535430908203,0.0005000000237487257
0.8381470441818237,0.427671879529953,0.7144373655319214,0.776625394821167,0.0002500000118743628
0.8460239768028259,0.4180200397968292,0.7059447765350342,0.7823753952980042,0.0002500000118743628
0.8525881767272949,0.40503764152526855,0.7112526297569275,0.7911429405212402,0.0002500000118743628
0.8529632687568665,0.401342511177063,0.7091295123100281,0.7884476780891418,0.0001250000059371814
0.8544636368751526,0.3937929570674896,0.7133758068084717,0.7902472615242004,0.0001250000059371814
0.864591121673584,0.37967872619628906,0.7101910710334778,0.7959613800048828,0.0001250000059371814
