train_dataset,CREMA-D,IEMOCAP,RAVDESS,SpanishMEACorpus,TESS
CREMA-D,0.37242614145031333,0.33664259927797835,0.19907407407407407,0.17762512266928362,0.23095238095238096
IEMOCAP,0.170993733213966,0.4891696750902527,0.14814814814814814,0.1874386653581943,0.14285714285714285
RAVDESS,0.1584601611459266,0.2319494584837545,0.3287037037037037,0.2620215897939156,0.31666666666666665
SpanishMEACorpus,0.22112802148612354,0.11101083032490974,0.19907407407407407,0.6182531894013739,0.19523809523809524
TESS,0.19247985675917637,0.12003610108303249,0.16666666666666666,0.20215897939156036,0.9976190476190476
