train_dataset,CREMA-D,IEMOCAP,RAVDESS,SpanishMEACorpus,TESS
CREMA-D,0.24985068999553148,0.13286751098027239,0.14733039925422078,0.10179188069706495,0.15324188728416158
IEMOCAP,0.041721275666229796,0.23930401320983746,0.05473802605680007,0.09665310669944034,0.03571428571428571
RAVDESS,0.05913664591685268,0.05379382522239665,0.2302316743513286,0.09202585612764576,0.23294837355497316
SpanishMEACorpus,0.11892204326370145,0.08789525919993049,0.047619047619047616,0.36602787396453057,0.13738070786052356
TESS,0.07964224337479696,0.06584806432932053,0.12359498814131299,0.10458478506137804,0.9976188822636493
