train_dataset,CREMA-D,IEMOCAP,RAVDESS,SpanishMEACorpus,TESS
CREMA-D,0.31307869294216495,0.13598308851128715,0.2128782547501759,0.2003168574454586,0.23095238095238096
IEMOCAP,0.14285714285714285,0.26788306940265366,0.15763546798029557,0.17176250724674022,0.14285714285714285
RAVDESS,0.15307138497964953,0.14285714285714285,0.2843477407001293,0.10223065659885322,0.3166666666666667
SpanishMEACorpus,0.18568245526288016,0.07017774701261126,0.14285714285714285,0.3726372088622626,0.19523809523809524
TESS,0.16206177281123987,0.11402257304042966,0.17733990147783252,0.11130001620967843,0.9976190476190476
